,oil_store,가격,상표,셀프,주소,구
0,지에스칼텍스㈜ 동서울주유소,1505.0,GS칼텍스,Y,서울 강동구 천호대로 1456 (상일동),강동구
1,구천면주유소,1516.0,현대오일뱅크,N,서울 강동구 구천면로 357 (암사동),강동구
2,지에스칼텍스㈜ 신월주유소,1519.0,GS칼텍스,N,서울 강동구 양재대로 1323 (성내동),강동구
3,방아다리주유소,1535.0,SK에너지,Y,서울 강동구 동남로 811 (명일동),강동구
4,대성석유(주)직영 길동주유소,1538.0,GS칼텍스,N,서울 강동구 천호대로 1168,강동구
5,주)지유에너지직영 오렌지주유소,1543.0,SK에너지,N,서울 강동구 성안로 102 (성내동),강동구
6,고속셀프주유소,1545.0,SK에너지,Y,서울 강동구 천호대로 1246,강동구
7,SK네트웍스㈜암사주유소(self),1545.0,SK에너지,Y,서울 강동구 올림픽로 749 (암사동),강동구
8,(주)퍼스트오일 코알라주유소,1548.0,S-OIL,Y,서울특별시 강동구  올림픽로 556 (성내동),강동구
9,sk해뜨는주유소,1558.0,SK에너지,Y,서울특별시 강동구  상일로 132 (강일동),강동구
10,SK네트웍스 명일셀프주유소,1569.0,SK에너지,N,서울 강동구 고덕로 168 (명일동),강동구
11,(주)소모에너지엔테크놀러지 성내주유소,1578.0,GS칼텍스,Y,서울 강동구 올림픽로 578 (성내동),강동구
12,광성주유소,1598.0,S-OIL,N,서울 강동구 올림픽로 673 (천호동),강동구
13,(주)삼표에너지 고덕주유소,1668.0,GS칼텍스,N,서울 강동구 고덕로 39 (암사동),강동구
14,CJ대한통운㈜ 천호점주유소,1727.0,현대오일뱅크,N,서울 강동구 천중로 67 (천호동),강동구
15,강동주유소,1943.0,SK에너지,N,서울 강동구 양재대로 1509 (길동),강동구
16,재원에너지(주)용일주유소,1452.0,GS칼텍스,N,서울 동대문구 안암로 54 (용두동),동대문구
17,풍한주유소,1455.0,SK에너지,N,서울특별시 동대문구  안암로 168 (제기동),동대문구
18,배봉로주유소,1457.0,현대오일뱅크,Y,서울 동대문구 서울시립대로 108,동대문구
19,재정제2주유소,1458.0,현대오일뱅크,Y,서울 동대문구 사가정로 90 (전농동),동대문구
20,동일석유(주)강남주유소,1458.0,SK에너지,N,서울특별시 동대문구  사가정로 103 (전농동),동대문구
21,재정주유소,1458.0,현대오일뱅크,N,서울 동대문구 전농로 121 (전농동),동대문구
22,SK경동주유소,1464.0,SK에너지,N,서울 동대문구 이문로 191 (이문동),동대문구
23,웰컴주유소,1465.0,현대오일뱅크,N,서울 동대문구 한천로 414 (이문동),동대문구
24,(주)열린주유소,1479.0,GS칼텍스,N,서울 동대문구 한천로 263 (휘경동),동대문구
25,삼미상사(주)장안킹셀프주유소,1485.0,SK에너지,Y,서울특별시 동대문구  한천로 100 (장안동),동대문구
26,삼영주유소,1489.0,SK에너지,N,서울 동대문구 답십리로 258 (장안동),동대문구
27,답십리주유소,1489.0,GS칼텍스,N,서울 동대문구 답십리로 223 (답십리동),동대문구
28,(주)파랑에너지,1499.0,GS칼텍스,Y,서울특별시 동대문구  망우로 1 (휘경동)126,동대문구
29,삼원셀프주유소,1519.0,SK에너지,Y,서울 동대문구 망우로 90 (휘경동),동대문구
30,대성산업(주)동마장주유소,1529.0,GS칼텍스,N,서울 동대문구 고산자로 405 (용두동),동대문구
31,홍능주유소,1529.0,S-OIL,N,서울 동대문구 홍릉로 87 (청량리동),동대문구
32,오동나무주유소,1538.0,S-OIL,N,서울 동대문구  한천로 81 (답십리동),동대문구
33,대성산업㈜청량리주유소,1559.0,GS칼텍스,N,서울 동대문구 왕산로 289 (청량리동),동대문구
34,SK네트웍스스피드주유소,1589.0,SK에너지,N,서울 동대문구 천호대로 453 (장안동),동대문구
35,한영주유소 (한화),1595.0,현대오일뱅크,N,서울 동대문구 망우로 38 (휘경동),동대문구
36,능주주유소,1688.0,SK에너지,N,서울 동대문구 청계천로 431 (신설동),동대문구
37,신성주유소,1894.0,현대오일뱅크,N,서울 동대문구 장한로 29 (장안동),동대문구
38,지에스칼텍스(주) 대방주유소,1478.0,GS칼텍스,N,서울 동작구 여의대방로 214,동작구
39,매일주유소,1489.0,S-OIL,N,서울특별시 동작구  상도로 139 (상도동),동작구
40,21세기주유소,1495.0,SK에너지,Y,서울 동작구 시흥대로 616 (신대방동),동작구
41,창원ENG,1499.0,현대오일뱅크,N,서울 동작구 사당로 59 (상도동),동작구
42,현대오일뱅크(주)직영 동작주유소,1504.0,현대오일뱅크,N,서울 동작구 상도로 403 (상도동),동작구
43,현대오일뱅크(주)직영 사당셀프주유소,1504.0,현대오일뱅크,Y,서울 동작구 동작대로 73 (사당동),동작구
44,대성산업(주) 노량진주유소,1509.0,GS칼텍스,N,서울 동작구 노량진로 172 (노량진동),동작구
45,(주)성림에너지 남성주유소,1524.0,GS칼텍스,Y,서울특별시 동작구  동작대로 135 (사당동),동작구
46,흑석동,1565.0,SK에너지,Y,서울 동작구 현충로 101 (흑석동),동작구
47,살피재주유소,1625.0,SK에너지,N,서울 동작구 상도로 334,동작구
48,성산주유소,1577.0,SK에너지,N,서울 마포구  월드컵북로 170 (성산제2동),마포구
49,마포시엠주유소,1587.0,GS칼텍스,N,서울 마포구 월드컵북로62 (성산동),마포구
50,청원주유소,1598.0,현대오일뱅크,N,서울 마포구 월드컵북로 113 (성산동),마포구
51,용강주유소,1639.0,S-OIL,N,서울 마포구 토정로 258,마포구
52,(주)만성상사(대흥),1666.0,SK에너지,N,서울 마포구 대흥로 61 (대흥동),마포구
53,성산대교(해월),1769.0,SK에너지,N,서울 마포구 성산로 144,마포구
54,안국주유소,1780.0,SK에너지,N,서울 마포구 양화로 33 (합정동),마포구
55,마포주유소,1798.0,S-OIL,N,서울 마포구 마포대로 186 (공덕동),마포구
56,합정주유소,1859.0,SK에너지,N,서울 마포구 양화로 13 (합정동),마포구
57,SK에너지 양지주유소,1879.0,SK에너지,N,서울 마포구 마포대로 69 (도화동),마포구
58,Happy Auto,1879.0,SK에너지,N,서울 마포구 서강로 76 (창전동),마포구
59,(주)가재울뉴타운주유소,1474.0,현대오일뱅크,Y,서울 서대문구 모래내로 205,서대문구
60,(주)마봉 구도일주유소 두꺼비,1479.0,S-OIL,Y,서울특별시 서대문구  성산로 312 (연희동),서대문구
61,남정주유소,1479.0,GS칼텍스,N,서울특별시 서대문구  모래내로 243 (남가좌동),서대문구
62,(주)마봉 신우주유소,1488.0,S-OIL,Y,서울 서대문구 가좌로 106 (홍은동),서대문구
63,(주)창원이엔지 홍제지점,1489.0,현대오일뱅크,N,서울 서대문구 통일로 455 (홍제동),서대문구
64,코리아상사연세주유소,1499.0,GS칼텍스,N,서울 서대문구 연희로 184,서대문구
65,연희주유소,1518.0,SK에너지,N,서울 서대문구 연희로 129 (연희동 89-7번지),서대문구
66,광호주유소,1518.0,SK에너지,N,서울 서대문구 연희로 266 (홍은동),서대문구
67,지에스칼텍스(주)홍제동주유소,1518.0,GS칼텍스,Y,서울 서대문구 통일로 372,서대문구
68,중앙에너비스 동교지점,1518.0,SK에너지,Y,서울 서대문구 연희로 12 (창천동),서대문구
69,삼보셀프주유소,1518.0,SK에너지,Y,서울 서대문구 연희로 78 (연희동),서대문구
70,삼미상사(주)서부주유소,1519.0,SK에너지,Y,서울 서대문구 성산로 255 (연희동),서대문구
71,KH에너지(주)직영 독립문주유소,1539.0,SK에너지,N,서울 서대문구 통일로 384 (홍제동),서대문구
72,문화촌주유소,1649.0,S-OIL,N,서울 서대문구 세검정로 87 (홍제동),서대문구
73,행촌제2주유소,1975.0,SK에너지,N,서울 서대문구 성산로 490 (대신동),서대문구
74,만남의광장주유소,1462.0,알뜰(ex),Y,서울 서초구 양재대로12길 73-71,서초구
75,양재주유소,1490.0,SK에너지,N,서울 서초구 바우뫼로 178 (양재동),서초구
76,양재최고주유소,1490.0,GS칼텍스,N,서울 서초구 매헌로 72 (양재동),서초구
77,태봉셀프주유소,1497.0,SK에너지,Y,서울 서초구 태봉로 117 (우면동),서초구
78,(주)대농석유 남태령주유소,1509.0,SK에너지,Y,서울 서초구 과천대로 838 (방배동),서초구
79,현대오일뱅크(주)직영 팔레스주유소,1518.0,현대오일뱅크,N,서울 서초구 사평대로 136 (반포동),서초구
80,동원석유(강남대로),1519.0,S-OIL,Y,서울 서초구 강남대로 206 (양재동),서초구
81,(주)홈런주유소,1528.0,S-OIL,Y,서울 서초구 양재대로2길 100-30 (우면동),서초구
82,신반포주유소,1528.0,SK에너지,N,서울 서초구 사평대로 94 (반포동),서초구
83,현대오일뱅크(주)직영 방배현대주유소,1529.0,현대오일뱅크,N,서울특별시 서초구 동작대로 182 (방배동),서초구
84,대신석유(주)대우주유소,1529.0,SK에너지,Y,서울 서초구 양재대로 173 (양재동),서초구
85,양재현대주유소,1533.0,현대오일뱅크,N,서울 서초구 마방로 6,서초구
86,말죽거리주유소,1536.0,GS칼텍스,N,서울 서초구 남부순환로 2650 (양재동),서초구
87,한독주유소,1538.0,GS칼텍스,N,서울 서초구 방배로 218 (방배동),서초구
88,SK네트웍스 반포셀프주유소,1539.0,SK에너지,Y,서울특별시 서초구  사평대로 12 (방배본동),서초구
89,지에스칼텍스(주)선천주유소,1544.0,GS칼텍스,N,서울 서초구 동작대로 206 (방배동),서초구
90,방배동주유소,1550.0,SK에너지,N,서울 서초구 효령로 29 (방배동),서초구
91,(주)한미건설 서울주유소,1558.0,GS칼텍스,N,서울 서초구 서초중앙로 91 (서초동),서초구
92,(주)한미석유 서초주유소,1558.0,GS칼텍스,N,서울 서초구 반포대로 64 (서초동),서초구
93,서초꽃마을주유소,1558.0,GS칼텍스,N,서울 서초구 반포대로 69 (서초동),서초구
94,대성석유(주)연일주유소,1559.0,GS칼텍스,N,서울 서초구 남부순환로 2451,서초구
95,에쓰오일(주)직영 오토테크주유소,1567.0,S-OIL,Y,서울특별시 서초구  효령로 356 (서초동),서초구
96,지에스칼텍스(주)헌릉로주유소,1572.0,GS칼텍스,Y,서울 서초구 헌릉로 177 (내곡동),서초구
97,만국주유소,1574.0,SK에너지,N,서울 서초구 서초대로 52 (방배동),서초구
98,반포그린주유소,1575.0,GS칼텍스,N,서울 서초구 서초중앙로 239 (반포동),서초구
99,지에스칼텍스(주)내곡주유소,1585.0,GS칼텍스,N,서울 서초구 헌릉로 210,서초구
100,전당앞주유소,1589.0,SK에너지,N,서울 서초구 남부순환로 2391 (서초동),서초구
101,지에스칼텍스(주)남서울주유소,1592.0,GS칼텍스,N,서울 서초구 나루터로 83 (잠원동),서초구
102,대성산업(주)직영강남주유소,1597.0,GS칼텍스,N,서울 서초구 반포대로 284 (반포동),서초구
103,대성산업(주)직영 터미널(고속)주유소,1597.0,GS칼텍스,N,서울 서초구 신반포로 222 (반포동),서초구
104,경일석유(주)직영 삼방주유소,1597.0,GS칼텍스,N,서울 서초구 사평대로 364 (서초동),서초구
105,서초제일주유소,1599.0,SK에너지,N,서울 서초구 사임당로 116 (서초동),서초구
106,크로바주유소,1687.0,SK에너지,N,서울 서초구 효령로 327 (서초동),서초구
107,대신석유㈜서원주유소,1948.0,SK에너지,N,서울 서초구 반포대로 142 (서초동),서초구
108,중앙주유소,1978.0,S-OIL,N,서울 서초구 양재동 바우뫼로 219 (양재동),서초구
109,선우상사Q엔느,1983.0,SK에너지,N,서울 서초구 방배로 66 (방배동),서초구
110,사평로주유소,1999.0,SK에너지,N,서울 서초구 사평대로 350 (서초동),서초구
111,(주)서울에너지 직영,1454.0,S-OIL,Y,서울 성동구 천호대로 324 (용답동),성동구
112,KLP제2주유소,1462.0,현대오일뱅크,Y,서울 성동구 동일로 249 (송정동),성동구
113,지에스칼텍스㈜ 도루코주유소,1487.0,GS칼텍스,Y,서울 성동구 아차산로 180,성동구
114,현대오일뱅크(주) 성동현대주유소,1498.0,현대오일뱅크,N,서울특별시 성동구  마장로 311 (마장동),성동구
115,정호주유소,1498.0,자가상표,N,서울 성동구 고산자로 307 (마장동),성동구
116,아이콘주유소,1528.0,S-OIL,N,서울 성동구 고산자로 273 (도선동),성동구
117,경진주유소,1528.0,SK에너지,N,서울 성동구 고산자로 348 (마장동),성동구
118,삼우주유소,1539.0,SK에너지,N,서울 성동구 천호대로 392 (용답동),성동구
119,SK에너지(주) 군자동주유소,1539.0,SK에너지,N,서울 성동구 천호대로 446 (용답동),성동구
120,현대오일뱅크 성수주유소,1555.0,현대오일뱅크,N,서울 성동구 뚝섬로 352 (성수동1가),성동구
121,kh에너지(주)성수만세주유소,1565.0,SK에너지,Y,서울특별시 성동구 왕십리로 109 (성수동1가),성동구
122,SK네트웍스(주)효진주유소,1579.0,SK에너지,N,서울 성동구 동일로 129,성동구
123,SK세원2주유소,1657.0,SK에너지,N,서울 성동구 광나루로 184 (성수동1가),성동구
124,금호주유소,1720.0,GS칼텍스,N,서울 성동구 금호로 39 (금호동4가),성동구
125,동일주유소,1769.0,현대오일뱅크,N,서울 성동구 광나루로 254 (성수동2가),성동구
126,청계로주유소,1848.0,SK에너지,N,서울 성동구 청계천로 454 (하왕십리동),성동구
127,(주)옥수하이웨이스테이션,1898.0,GS칼텍스,N,서울 성동구 독서당로 168 (옥수동),성동구
128,원천주유소,1445.0,알뜰주유소,N,서울특별시 성북구  돌곶이로 142 (장위동),성북구
129,현대오일뱅크㈜직영 고대셀프주유소,1459.0,현대오일뱅크,Y,서울 성북구 종암로 12 (종암동),성북구
130,강산주유소,1472.0,GS칼텍스,N,서울 성북구 보문로 27 (보문동7가),성북구
131,신방주유소,1472.0,S-OIL,N,서울특별시 성북구 안암로 111 (안암동5가),성북구
132,(주)성북주유소,1487.0,현대오일뱅크,N,서울 성북구 보문로 142,성북구
133,우리주유소,1488.0,현대오일뱅크,Y,서울 성북구 화랑로 292 (석관동),성북구
134,신동방주유소,1488.0,S-OIL,N,서울 성북구 월계로 84 (장위동),성북구
135,장삼주유소,1489.0,SK에너지,Y,서울 성북구 한천로 612 (장위동),성북구
136,중앙에너비스 종암지점,1498.0,SK에너지,Y,서울 성북구 종암로 58,성북구
137,길음지점,1499.0,현대오일뱅크,N,서울 성북구 삼양로 78 (길음동),성북구
138,원천제1주유소,1519.0,GS칼텍스,Y,서울특별시 성북구  보국문로 52 (정릉제4동),성북구
139,(주)삼표에너지 정릉주유소,1519.0,GS칼텍스,Y,서울 성북구 보국문로 35 (정릉동),성북구
140,지에스칼텍스㈜ 세창주유소,1519.0,GS칼텍스,N,서울 성북구 동소문로 323,성북구
141,구도일주유소화랑로,1529.0,S-OIL,N,서울 성북구 화랑로 174,성북구
142,지에스칼텍스㈜ 효성주유소,1529.0,GS칼텍스,N,서울 성북구 화랑로 27,성북구
143,지에스칼텍스㈜ 화랑주유소,1529.0,GS칼텍스,N,서울 성북구 화랑로 185,성북구
144,동일주유소,1537.0,GS칼텍스,N,서울특별시 성북구  보문로 85 (보문동5가),성북구
145,sk네트웍스(주) 북악주유소,1539.0,SK에너지,Y,서울특별시 성북구  정릉로 218 (정릉동),성북구
146,광덕,1541.0,SK에너지,Y,서울 성북구 보문로 89 (보문동5가),성북구
147,SK에너지(주) 드림랜드주유소,1550.0,SK에너지,N,서울 성북구  월계로 128 (장위동),성북구
148,sk네트웍스(주)아리랑주유소,1559.0,SK에너지,N,서울 성북구 아리랑로 96 (정릉동),성북구
149,삼선주유소,2135.0,S-OIL,N,서울 성북구 창경궁로 324,성북구
150,지에스이앤알 직영 송파제일주유소,1467.0,현대오일뱅크,Y,서울 송파구 삼학사로 50 (석촌동),송파구
151,아시아주유소,1472.0,GS칼텍스,Y,서울 송파구 도곡로 438 (잠실동),송파구
152,송파알찬주유소,1472.0,S-OIL,N,서울 송파구 백제고분로 229 (삼전동),송파구
153,삼정주유소,1472.0,GS칼텍스,Y,서울 송파구 백제고분로 252 (삼전동),송파구
154,삼화주유소,1472.0,GS칼텍스,Y,서울특별시 송파구  백제고분로 125 (잠실동),송파구
155,선우상사 삼전주유소,1472.0,SK에너지,Y,서울 송파구 백제고분로 199,송파구
156,상아주유소,1473.0,현대오일뱅크,Y,서울 송파구 거마로 82 (마천동),송파구
157,(주)정직한주유소,1499.0,현대오일뱅크,Y,서울특별시 송파구  오금로 455 (거여동),송파구
158,(주)남경석유세영주유소,1499.0,GS칼텍스,N,서울 송파구 동남로 298 (오금동),송파구
159,한강에너지(주)퍼스트주유소,1499.0,SK에너지,Y,서울 송파구 삼학사로 22 (석촌동),송파구
160,(주)신화에너지 서울지점,1499.0,SK에너지,Y,서울 송파구 가락로 47 (석촌동),송파구
161,SKN(주) 송파셀프직영주유소,1499.0,SK에너지,Y,서울 송파구  거마로 5 (거여동 26-1),송파구
162,대성주유소,1508.0,SK에너지,N,서울 송파구 마천로 230 (마천동),송파구
163,(주)삼표에너지 훼미리주유소,1518.0,GS칼텍스,N,서울 송파구 중대로 58 (문정동),송파구
164,(주)뉴명성산업 남성주유소,1519.0,현대오일뱅크,N,서울 송파구 백제고분로 474 (방이동),송파구
165,남성대주유소,1522.0,SK에너지,Y,서울 송파구 송파대로 52 (장지동),송파구
166,(주)유진주유소,1526.0,SK에너지,N,서울 송파구 동남로 325 (오금동),송파구
167,지에스칼텍스(주)스마트위례주유소,1527.0,GS칼텍스,Y,서울 송파구 위례중앙로 43 (장지동),송파구
168,(주)퍼스트오일서울주유소,1527.0,S-OIL,N,서울 송파구 문정로 153 (가락동),송파구
169,(주)잠실에너지,1528.0,S-OIL,Y,서울 송파구 송파대로 442 (송파동),송파구
170,대성석유(주)석촌주유소,1528.0,GS칼텍스,N,서울 송파구 백제고분로 289,송파구
171,제트라인 DM주유소,1539.0,현대오일뱅크,N,서울 송파구 중대로 183 (가락동),송파구
172,완불주유소,1539.0,SK에너지,N,서울 송파구 송파대로 3 (장지동),송파구
173,지에스칼텍스(주)가든파이브주유소,1545.0,GS칼텍스,Y,서울 송파구 탄천동로 740 (가든파이브주유소),송파구
174,송파주유소,1547.0,GS칼텍스,Y,서울 송파구 송이로 28 (송파동),송파구
175,지에스칼텍스(주)우리주유소,1555.0,GS칼텍스,N,서울 송파구 동남로 153 (가락동),송파구
176,올림픽셀프,1565.0,SK에너지,Y,서울 송파구 위례성대로 188 (오금동),송파구
177,서원주유소,1599.0,SK에너지,N,서울 송파구 중대로 154 (가락동),송파구
178,백제고분로주유소,1628.0,SK에너지,Y,서울 송파구 오금로 143 (방이동),송파구
179,방이주유소,1737.0,SK에너지,N,서울특별시 송파구  위례성대로12길 38 (방이동) 방이주유소,송파구
180,대신석유(주)진양주유소,1769.0,SK에너지,N,서울 송파구 올림픽로 499 (풍납동),송파구
181,인광주유소,1769.0,SK에너지,N,서울 송파구 송파대로 397 (석촌동),송파구
182,현대주유소,1429.0,S-OIL,Y,서울 양천구 남부순환로 372 (신월동),양천구
183,개나리(셀프주유소),1439.0,SK에너지,Y,서울 양천구 남부순환로 442 (신월동),양천구
184,형산석유(주)원주유소,1439.0,현대오일뱅크,N,서울 양천구 남부순환로 408,양천구
185,지에스칼텍스㈜ 서호주유소,1439.0,GS칼텍스,Y,서울 양천구 남부순환로 317,양천구
186,양천구주유소,1447.0,알뜰주유소,Y,서울 양천구 국회대로 275 (목동),양천구
187,신월주유소,1448.0,GS칼텍스,Y,서울 양천구 신월로 193 (신월동),양천구
188,가로공원주유소,1457.0,SK에너지,N,서울 양천구 가로공원로 165 (신월동),양천구
189,목동주유소,1458.0,SK에너지,Y,서울 양천구 목동중앙로 125 (목동),양천구
190,지에스이앤알 직영 서울주유소,1459.0,GS칼텍스,N,서울 양천구 신정로 236 (신정동),양천구
191,SK네트웍스 신월남부,1459.0,SK에너지,Y,서울특별시 양천구  남부순환로 553 (신월동),양천구
192,현대오일뱅크㈜직영 목동셀프주유소,1467.0,현대오일뱅크,Y,서울 양천구 공항대로 648 (목동),양천구
193,(주)블루에너지,1474.0,SK에너지,Y,서울특별시 양천구  중앙로 226 (신정동),양천구
194,대농self주유소,1474.0,SK에너지,Y,서울 양천구 중앙로 331 (신월동),양천구
195,지에스칼텍스㈜ 건지주유소,1493.0,GS칼텍스,Y,서울 양천구 안양천로 1171 (목동),양천구
196,(주)삼표에너지 목동주유소,1498.0,GS칼텍스,N,서울 양천구 목동서로 129 (목동),양천구
197,(주)서부트럭터미날,1499.0,현대오일뱅크,N,서울 양천구 신정로 167 (신정동),양천구
198,신정동주유소,1538.0,현대오일뱅크,Y,서울특별시 양천구 안양천로 663 (신정동),양천구
199,양정주유소,1547.0,현대오일뱅크,N,서울특별시 양천구 국회대로 158 (신정동),양천구
200,SK에너지(주) 경인주유소,1559.0,SK에너지,Y,서울 양천구 국회대로 170 (신정동),양천구
201,SK네트웍스 신목동셀프주유소,1585.0,SK에너지,N,서울 양천구 목동동로10길 13,양천구
202,SK네트웍스(주) SKOK주유소,1595.0,SK에너지,N,서울특별시 양천구  안양천로 1179 (목동),양천구
203,신양주유소,1599.0,SK에너지,N,서울특별시 양천구  지양로 67 (신월7동),양천구
204,SK에너지(주) 신평,1639.0,SK에너지,N,서울 양천구 목동남로 62 (신정동),양천구
205,평화주유소,1857.0,SK에너지,N,서울 양천구 안양천로 657 (신정동),양천구
206,SK네트웍스(주)코리아주유소,1859.0,SK에너지,N,서울 양천구 신목로7길 1 (신정동),양천구
207,(주)대청에너지 대청주유소,1449.0,GS칼텍스,N,서울 영등포구 가마산로 328 (대림동),영등포구
208,(주)강서오일,1449.0,현대오일뱅크,N,서울 영등포구 도신로 151,영등포구
209,도림주유소,1449.0,알뜰주유소,Y,서울 영등포구 도림로 343 (도림동),영등포구
210,(주)MS주유소,1449.0,현대오일뱅크,N,서울 영등포구 대림로 230,영등포구
211,(주)블루에너지,1449.0,SK에너지,Y,서울특별시 영등포구  가마산로 367 (대림동),영등포구
212,행촌주유소,1449.0,SK에너지,N,서울 영등포구 도신로 130 (신길동),영등포구
213,매봉주유소,1449.0,현대오일뱅크,Y,서울 영등포구 도신로 248 (신길동),영등포구
214,현대오일뱅크㈜직영 대일셀프주유소,1459.0,현대오일뱅크,Y,서울 영등포구 영등포로 168,영등포구
215,한경석유(주)경덕주유소,1459.0,SK에너지,Y,서울 영등포구 여의대방로23길 2 (신길동),영등포구
216,남부(영등포),1459.0,SK에너지,Y,서울 영등포구 경인로 822 (영등포동),영등포구
217,지에스칼텍스㈜ 신길주유소,1464.0,GS칼텍스,Y,서울 영등포구 신길로 74 (신길동),영등포구
218,SK네트윅스(주)윈윈주유소,1469.0,SK에너지,Y,서울 영등포구 가마산로 379 (대림동),영등포구
219,(주)지에스이앤알 모드니주유소,1469.0,GS칼텍스,N,서울 영등포구 경인로 789,영등포구
220,성락주유소,1469.0,S-OIL,Y,서울 영등포구 가마산로 414 (신길동),영등포구
221,지에스칼텍스㈜ 화일주유소,1474.0,GS칼텍스,Y,서울 영등포구 도림로 415,영등포구
222,보라주유소,1479.0,GS칼텍스,N,서울특별시 영등포구  영등포로 399 (신길동),영등포구
223,씨앤에스유통 한성주유소,1488.0,S-OIL,N,서울 영등포구 여의대방로 227,영등포구
224,(주)한미석유 제2한강주유소,1498.0,GS칼텍스,Y,서울 영등포구 선유로 260 (양평동4가),영등포구
225,선유도주유소,1508.0,S-OIL,Y,서울 영등포구 양평로 141 (양평동5가),영등포구
226,SK에너지(주) 신길동주유소,1523.0,SK에너지,N,서울 영등포구 영등포로 348 (신길동),영등포구
227,SK네트웍스(주) 영등포행복SELF주유소,1539.0,SK에너지,Y,서울특별시 영등포구 선유로 114(양평동1가),영등포구
228,SK네트웍스(주)직영기린주유소,1539.0,SK에너지,Y,서울 영등포구 선유로 270,영등포구
229,SK에너지(주) 양평주유소,1539.0,SK에너지,Y,서울 영등포구 선유로 195 (양평동3가),영등포구
230,sk여명주유소,1597.0,SK에너지,N,서울특별시 영등포구  국회대로62길 7 (여의도동),영등포구
231,대영주유소,1599.0,GS칼텍스,Y,서울 영등포구 국회대로 632 (영등포동7가),영등포구
232,한일주유소,1785.0,SK에너지,N,서울 영등포구 도림로 486 (문래동3가),영등포구
233,성원이앤에스(주)영등포지점,1835.0,GS칼텍스,N,서울특별시 영등포구  국회대로52길 9-13 (영등포동7가),영등포구
234,KH여의도주유소,1869.0,SK에너지,N,서울 영등포구 국회대로 794 (여의도동),영등포구
235,SK네트웍스㈜직영 여의도주유소,1879.0,SK에너지,N,서울 영등포구 의사당대로 154 (여의도동),영등포구
236,버드나룻길주유소,1890.0,SK에너지,N,서울 영등포구 버드나루로 111 (당산동),영등포구
237,SJ오일(주) 여의도주유소,1895.0,GS칼텍스,N,서울 영등포구 은행로 64,영등포구
238,국회대로주유소,1899.0,GS칼텍스,N,서울 영등포구 국회대로 746 (여의도동),영등포구
239,(주)석산에너지,1412.0,현대오일뱅크,N,서울 강북구 삼양로 316 (수유동),강북구
240,북서울고속주유소,1429.0,S-OIL,Y,서울특별시 강북구 삼양로 410 (수유동),강북구
241,현대오일뱅크(주)직영 미아셀프주유소,1449.0,현대오일뱅크,Y,서울 강북구 도봉로 200 (미아동),강북구
242,지에스이앤알 직영 미아주유소,1449.0,GS칼텍스,Y,서울 강북구  도봉로 122 (미아동),강북구
243,수유동주유소,1449.0,GS칼텍스,Y,서울 강북구  도봉로 395 (수유동),강북구
244,현대오일뱅크(주)직영 번동셀프주유소,1466.0,현대오일뱅크,Y,서울 강북구 한천로 963 (번동),강북구
245,태창에너지 좋은기름주유소,1469.0,S-OIL,N,서울 강북구 덕릉로 158 (번동),강북구
